id,type,state,created_at,updated_at,user_id,course_id,amount,tax_free_amount
71826,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:40,2022-12-28 0:40,40887,210396,-10000,-10000
71825,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:38,2022-12-28 0:38,1061323,205548,-10000,-10000
71824,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:36,2022-12-28 0:36,1067488,212512,-30000,-30000
71823,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:28,2022-12-28 0:28,40930,210500,-40000,-40000
71822,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:27,2022-12-28 0:27,941313,NULL,-40000,-10000
71821,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:20,2022-12-28 0:20,182621,204373,-10000,-10000
71820,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:19,2022-12-28 0:19,597504,205949,-20000,-20000
71819,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:14,2022-12-28 0:14,617450,214383,0,0
71818,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:14,2022-12-28 0:14,1066196,210565,-30000,-30000
71816,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 8:52,2022-12-27 8:52,1001355,211857,0,0
71810,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 8:34,2022-12-27 8:34,565018,214322,-10000,-10000
71801,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 8:08,2022-12-27 8:08,379806,204631,0,0
71799,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 8:03,2022-12-27 8:03,368015,205747,0,0
71798,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 8:02,2022-12-27 8:02,368015,211492,-20000,-20000
71795,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 7:57,2022-12-27 7:57,1066686,211368,-10000,-10000
71790,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 7:45,2022-12-27 7:45,1063305,211368,-20000,-20000
71789,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 7:42,2022-12-27 7:42,1058319,212229,-30000,-30000
71788,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 7:26,2022-12-27 7:26,86049,NULL,-30000,0
71787,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 7:09,2022-12-27 7:09,1066742,214323,-20000,-20000
71782,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 6:38,2022-12-27 6:38,831608,203934,-10000,-10000
71779,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 6:26,2022-12-27 6:26,344052,207628,-10000,-10000
71773,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:56,2022-12-27 5:56,1066405,207744,-10000,-10000
71771,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:54,2022-12-27 5:54,1051871,203533,-20000,-20000
71770,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:53,2022-12-27 5:53,1056893,212871,-10000,-10000
71769,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:49,2022-12-27 5:49,1043022,214322,-10000,-10000
71768,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:49,2022-12-27 5:49,1043022,214323,-20000,-20000
71763,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:32,2022-12-27 5:32,1058953,205162,0,0
71761,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 5:13,2022-12-27 5:13,875119,206356,-10000,-10000
71756,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:47,2022-12-27 4:47,1060678,209777,-10000,-10000
71751,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:25,2022-12-27 4:25,1063479,212598,-20000,-20000
71750,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:22,2022-12-27 4:22,1065715,212740,-10000,-10000
71749,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:18,2022-12-27 4:18,121293,203787,-20000,-20000
71748,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:16,2022-12-27 4:16,143203,213450,-10000,-10000
71747,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:14,2022-12-27 4:14,1064903,212086,-20000,-20000
71746,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 4:13,2022-12-27 4:13,388306,212784,-10000,-10000
71683,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 2:50,2022-12-27 2:50,31176,212227,0,0
71680,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 2:39,2022-12-27 2:39,42104,213759,-30000,-30000
71677,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 2:23,2022-12-27 2:23,176268,203535,0,0
71676,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 2:23,2022-12-27 2:23,176268,212871,0,0
71672,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 2:00,2022-12-27 2:00,167268,213759,-50000,-50000
71671,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 2:00,2022-12-27 2:00,1066280,203720,-20000,-20000
71670,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:58,2022-12-27 1:58,88486,213917,0,0
71669,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:58,2022-12-27 1:58,88486,213918,0,0
71668,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:54,2022-12-27 1:54,713344,NULL,-40000,-10000
71667,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:53,2022-12-27 1:53,1065948,210569,-10000,-10000
71666,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:51,2022-12-27 1:51,1023697,203655,-40000,-40000
71663,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:47,2022-12-27 1:47,630270,214383,0,0
71662,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:47,2022-12-27 1:47,788285,212784,-10000,-10000
71661,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:40,2022-12-27 1:40,563269,213919,0,0
71660,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:38,2022-12-27 1:38,1064214,205648,-20000,-20000
71659,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:38,2022-12-27 1:38,1064399,212512,-30000,-30000
71658,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:37,2022-12-27 1:37,1059582,205548,-10000,-10000
71657,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:34,2022-12-27 1:34,1064348,214298,-10000,-10000
71656,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:33,2022-12-27 1:33,541404,212784,0,0
71654,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:33,2022-12-27 1:33,1064718,211798,-10000,-10000
71653,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:28,2022-12-27 1:28,1057451,204207,-10000,-10000
