id,type,state,created_at,updated_at,title,description,close_at,total_class_hours,keywords
213652,COURSE,ONGOING,2022-10-14 0:56,2022-11-16 4:21,(B2G) K-Di-213652,NULL,NULL,33,NULL
213650,COURSE,ENDED,2022-10-13 7:15,2023-05-26 0:01,메가바이트 스쿨 :-213650,NULL,2023-05-25 15:00,0,NULL
213608,COURSE,ENDED,2022-10-12 6:31,2023-02-28 8:51,INNER CIRC-213608,INNER CIRC,2023-02-06 15:00,12,"TDD,리팩토링,객체지향프로그래밍,이너써클,이너서클,INNERCIRCLE,백발,멘토링,네트워킹,코드리뷰,코드개선,backend,백엔드,백엔드심화,Top-tier"
213604,COURSE,ONGOING,2022-10-12 5:00,2024-01-25 18:03,React Nati-213604,21개 프로젝트로 ,NULL,106,"모바일,리액트네이티브,크로스플랫폼,앱개발,CODEPUSH,코드푸쉬,배포,업데이트,안드로이드,ANDROID,IOS,아이폰,앱개발입문,앱개발기초,사이드프로젝트,구글플레이스토어,앱스토어,수익화,프론트엔드,frontend,모바일앱,expo,cli,crossplatform"
213498,COURSE,ENDED,2022-10-11 1:17,2023-01-25 7:01,INNER CIRC-213498,INNER CIRC,2023-01-06 14:59,15,"양수열,개발테크리더,맞춤형컨설팅,이너써클,이너서클,innercircle,소프트스킬,커리어,팀빌딩,커뮤니케이션,관리,테크리더"
213469,COURSE,ENDED,2022-10-04 10:43,2023-01-18 0:01,INNER CIRC-213469,INNER CIRC,2023-01-17 15:00,12,"노수진,ios,앱개발,앱아키텍처,tdd,모듈화,앱테스팅,지속적통합,ci,자동화테스트,이너서클,이너써클,확장성,아키텍처,INNERCIRCLE,멘토링,코드리뷰,모바일심화"
213450,COURSE,ONGOING,2022-09-30 5:09,2023-11-20 1:36,35개 프로젝트로 -213450,35개 프로젝트로 ,NULL,109,"모바일,안드로이드,컴포즈,코틀린,KOTLIN,GDG,GDE,안드로이드앱,네카라쿠배,구글,RED,탑티어,앱개발,아키텍처,멀티모듈,성능최적화,수익화,테스트,FIREBASE,의존성주입,비동기,해외취업,앱개발입문,앱개발기초,프로젝트,모바일앱,aos,안드"
213384,COURSE,ONGOING,2022-09-26 6:21,2022-11-16 4:44,(B2G)K-Dig-213384,NULL,NULL,NULL,NULL
213336,COURSE,ONGOING,2022-09-22 8:38,2022-11-16 4:45,(B2G) K-Di-213336,NULL,NULL,NULL,NULL
213334,COURSE,ONGOING,2022-09-22 8:28,2022-11-16 4:33,(B2G)K-Dig-213334,NULL,NULL,NULL,NULL
